task	weight_parameter	principal component removed	ksvd clusters
SentEval/data/senteval_data/STS/STS12-en-test/STS.input.MSRpar.txt	0.01	2	21
SentEval/data/senteval_data/STS/STS12-en-test/STS.input.MSRvid.txt	0.0001	1	1
SentEval/data/senteval_data/STS/STS12-en-test/STS.input.SMTeuroparl.txt	0.01	0	34
SentEval/data/senteval_data/STS/STS12-en-test/STS.input.surprise.OnWN.txt	0.01	1	1
SentEval/data/senteval_data/STS/STS12-en-test/STS.input.surprise.SMTnews.txt	0.1	0	12
SentEval/data/senteval_data/STS/STS13-en-test/STS.input.FNWN.txt	0.001	1	11
SentEval/data/senteval_data/STS/STS13-en-test/STS.input.headlines.txt	0.001	2	1
SentEval/data/senteval_data/STS/STS13-en-test/STS.input.OnWN.txt	0.0001	2	1
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.deft-forum.txt	0.001	1	26
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.deft-news.txt	0.0001	0	1
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.headlines.txt	0.001	1	27
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.images.txt	0.001	1	1
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.OnWN.txt	0.0001	2	2
SentEval/data/senteval_data/STS/STS14-en-test/STS.input.tweet-news.txt	0.01	1	3
SentEval/data/senteval_data/STS/STS15-en-test/STS.input.answers-forums.txt	0.001	2	8
SentEval/data/senteval_data/STS/STS15-en-test/STS.input.answers-students.txt	0.01	1	4
SentEval/data/senteval_data/STS/STS15-en-test/STS.input.belief.txt	0.001	2	9
SentEval/data/senteval_data/STS/STS15-en-test/STS.input.headlines.txt	0.001	2	4
SentEval/data/senteval_data/STS/STS15-en-test/STS.input.images.txt	0.001	1	1
SentEval/data/senteval_data/STS/STS16-en-test/STS.input.answer-answer.txt	0.01	2	1
SentEval/data/senteval_data/STS/STS16-en-test/STS.input.headlines.txt	0.001	1	4
SentEval/data/senteval_data/STS/STS16-en-test/STS.input.plagiarism.txt	0.001	1	13
SentEval/data/senteval_data/STS/STS16-en-test/STS.input.postediting.txt	-1	2	6
SentEval/data/senteval_data/STS/STS16-en-test/STS.input.question-question.txt	0.001	2	7